code,name,site,city,country,floors,areaSqm
W-C11,W-C11,0169,OXAGON,Saudi Arabia,2,0
W-C12,W-C12,0169,OXAGON,Saudi Arabia,2,0
W-C13,W-C13,0169,OXAGON,Saudi Arabia,2,0
E-C01,E-C01,0169,OXAGON,Saudi Arabia,2,0
E-C02,E-C02,0169,OXAGON,Saudi Arabia,2,0
E-C03,E-C03,0169,OXAGON,Saudi Arabia,2,0
E-C04,E-C04,0169,OXAGON,Saudi Arabia,2,0
E-C05,E-C05,0169,OXAGON,Saudi Arabia,2,0
E-C06,E-C06,0169,OXAGON,Saudi Arabia,2,0
E-C07,E-C07,0169,OXAGON,Saudi Arabia,2,0
E-C08,E-C08,0169,OXAGON,Saudi Arabia,2,0
E-C09,E-C09,0169,OXAGON,Saudi Arabia,2,0
E-C10,E-C10,0169,OXAGON,Saudi Arabia,2,0
E-C11,E-C11,0169,OXAGON,Saudi Arabia,2,0
E-C12,E-C12,0169,OXAGON,Saudi Arabia,2,0
E-C13,E-C13,0169,OXAGON,Saudi Arabia,2,0
E-C14,E-C14,0169,OXAGON,Saudi Arabia,2,0
E-C15,E-C15,0169,OXAGON,Saudi Arabia,2,0
E-C16,E-C16,0169,OXAGON,Saudi Arabia,2,0
E-C17,E-C17,0169,OXAGON,Saudi Arabia,2,0
E-C18,E-C18,0169,OXAGON,Saudi Arabia,2,0
E-C19,E-C19,0169,OXAGON,Saudi Arabia,2,0
E-C20,E-C20,0169,OXAGON,Saudi Arabia,2,0
E-C21,E-C21,0169,OXAGON,Saudi Arabia,2,0
E-C22,E-C22,0169,OXAGON,Saudi Arabia,2,0
E-C23,E-C23,0169,OXAGON,Saudi Arabia,2,0
E-C24,E-C24,0169,OXAGON,Saudi Arabia,2,0
E-C25,E-C25,0169,OXAGON,Saudi Arabia,2,0
E-C26,E-C26,0169,OXAGON,Saudi Arabia,2,0
E-C27,E-C27,0169,OXAGON,Saudi Arabia,2,0
E-C28,E-C28,0169,OXAGON,Saudi Arabia,2,0
E-C29,E-C29,0169,OXAGON,Saudi Arabia,2,0
E-C30,E-C30,0169,OXAGON,Saudi Arabia,2,0
E-C31,E-C31,0169,OXAGON,Saudi Arabia,2,0
E-C32,E-C32,0169,OXAGON,Saudi Arabia,2,0
E-C40,E-C40,0169,OXAGON,Saudi Arabia,2,0
E-C41,E-C41,0169,OXAGON,Saudi Arabia,2,0
E-C42,E-C42,0169,OXAGON,Saudi Arabia,2,0
E-C43,E-C43,0169,OXAGON,Saudi Arabia,2,0
E-C44,E-C44,0169,OXAGON,Saudi Arabia,2,0
E-C45,E-C45,0169,OXAGON,Saudi Arabia,2,0
E-C46,E-C46,0169,OXAGON,Saudi Arabia,2,0
E-C47,E-C47,0169,OXAGON,Saudi Arabia,2,0
E-C48,E-C48,0169,OXAGON,Saudi Arabia,2,0
E-C49,E-C49,0169,OXAGON,Saudi Arabia,2,0
E-C50,E-C50,0169,OXAGON,Saudi Arabia,2,0
E-C51,E-C51,0169,OXAGON,Saudi Arabia,2,0
E-C52,E-C52,0169,OXAGON,Saudi Arabia,2,0
E-C53,E-C53,0169,OXAGON,Saudi Arabia,2,0
E-C54,E-C54,0169,OXAGON,Saudi Arabia,2,0
E-C55,E-C55,0169,OXAGON,Saudi Arabia,2,0
E-C56,E-C56,0169,OXAGON,Saudi Arabia,2,0
E-C57,E-C57,0169,OXAGON,Saudi Arabia,2,0
E-C58,E-C58,0169,OXAGON,Saudi Arabia,2,0
E-C59,E-C59,0169,OXAGON,Saudi Arabia,2,0
E-C60,E-C60,0169,OXAGON,Saudi Arabia,2,0
E-C61,E-C61,0169,OXAGON,Saudi Arabia,2,0
E-C62,E-C62,0169,OXAGON,Saudi Arabia,2,0
E-C63,E-C63,0169,OXAGON,Saudi Arabia,2,0
E-B03,E-B03,0169,OXAGON,Saudi Arabia,2,0
E-B04,E-B04,0169,OXAGON,Saudi Arabia,2,0
W-D01,W-D01,0169,OXAGON,Saudi Arabia,2,0
W-D02,W-D02,0169,OXAGON,Saudi Arabia,2,0
W-D03,W-D03,0169,OXAGON,Saudi Arabia,2,0
W-D04,W-D04,0169,OXAGON,Saudi Arabia,2,0
W-D05,W-D05,0169,OXAGON,Saudi Arabia,2,0
W-D06,W-D06,0169,OXAGON,Saudi Arabia,2,0
W-D07,W-D07,0169,OXAGON,Saudi Arabia,2,0
W-D08,W-D08,0169,OXAGON,Saudi Arabia,2,0
W-D09,W-D09,0169,OXAGON,Saudi Arabia,2,0
W-D10,W-D10,0169,OXAGON,Saudi Arabia,2,0
W-D11,W-D11,0169,OXAGON,Saudi Arabia,2,0
W-D12,W-D12,0169,OXAGON,Saudi Arabia,2,0
W-D13,W-D13,0169,OXAGON,Saudi Arabia,2,0
W-D14,W-D14,0169,OXAGON,Saudi Arabia,2,0
W-D15,W-D15,0169,OXAGON,Saudi Arabia,2,0
W-D16,W-D16,0169,OXAGON,Saudi Arabia,2,0
W-D17,W-D17,0169,OXAGON,Saudi Arabia,2,0
W-D18,W-D18,0169,OXAGON,Saudi Arabia,2,0
W-D19,W-D19,0169,OXAGON,Saudi Arabia,2,0
W-D20,W-D20,0169,OXAGON,Saudi Arabia,2,0
W-D21,W-D21,0169,OXAGON,Saudi Arabia,2,0
W-D22,W-D22,0169,OXAGON,Saudi Arabia,2,0
